strategy,arm,slice,metric,n_seeds,n_bootstraps_total,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half
drift_anchored,adversarial_b2p,pp_test,f1_weighted,3,6000,0.8086758409957318,0.010650835757800148,0.8085382597585118,0.7798321628512913,0.8396721987825738,0.029920017965641255
drift_anchored,adversarial_b2p,pp_test,recall_phish,3,6000,0.8543897216274091,0.009812795920676283,0.85443147751606,0.8179871520342612,0.8886509635974305,0.03533190578158463
drift_anchored,adversarial_b2p,pp_test,recall_benign,3,6000,0.765507839127471,0.015348780162505411,0.7652699386503068,0.7198364008179959,0.8098159509202454,0.044989775051124725
drift_anchored,adversarial_b2p,pp_test,precision_phish,3,6000,0.7768488003260078,0.012196606423339569,0.7768967003948848,0.7438783113026511,0.8115079365079365,0.033814812602642685
drift_anchored,adversarial_b2p,pp_test,precision_benign,3,6000,0.8462711333331514,0.00992253386469209,0.8464515359303227,0.8131868131868132,0.8799076212471132,0.033360404030150004
drift_anchored,adversarial_b2p,pp_test,accuracy,3,6000,0.8089260808926081,0.01058158361610428,0.8088247907949789,0.7803347280334728,0.8399581589958159,0.029811715481171563
drift_anchored,adversarial_b2p,pp_test,auc,3,6000,0.8593190081872574,0.014252710595020292,0.8592350263980301,0.82206815464852,0.8894002093158699,0.033666027333674964
drift_anchored,adversarial_b2p,kp_test,f1_weighted,3,6000,0.980250869713955,0.002838749233355117,0.9802173902127321,0.9717688909077343,0.9878154511155262,0.008023280103895913
drift_anchored,adversarial_b2p,kp_test,recall_phish,3,6000,0.9777227722772278,0.002143627237090197,0.9776210808580857,0.9665841584158416,0.9876237623762376,0.01051980198019803
drift_anchored,adversarial_b2p,kp_test,recall_benign,3,6000,0.9822979291917168,0.004049550986300016,0.9823203072812291,0.9719438877755511,0.9919839679358717,0.01002004008016033
drift_anchored,adversarial_b2p,kp_test,precision_phish,3,6000,0.9781391526899529,0.0049293634004972725,0.9781899620687233,0.9656431166247117,0.9900373599003736,0.012197121637830932
drift_anchored,adversarial_b2p,kp_test,precision_benign,3,6000,0.9819694749465765,0.001741348745846168,0.9819060378536699,0.9729452133956982,0.9899091826437941,0.008481984624047978
drift_anchored,adversarial_b2p,kp_test,accuracy,3,6000,0.9802510151347361,0.0028414182942673627,0.9802178848283499,0.9717607973421927,0.9878183831672204,0.008028792912513849
drift_anchored,adversarial_b2p,kp_test,auc,3,6000,0.9976528965521801,0.0005014504712667091,0.997648274477999,0.9960204443540546,0.9989136999246017,0.0014466277852735465
drift_anchored,adversarial_b2p,dp_probe,f1_weighted,3,6000,0.14965384819539987,0.050104295499983,0.14970435839164448,0.09951245512391395,0.21287737524584172,0.056682460060963884
drift_anchored,adversarial_b2p,dp_probe,recall_phish,3,6000,0.9927536231884058,0.003105590062111807,0.9927831262939959,0.984472049689441,0.9989648033126294,0.00724637681159418
drift_anchored,adversarial_b2p,dp_probe,recall_benign,3,6000,0.06898656898656898,0.03341240336770585,0.06903150183150183,0.03626373626373627,0.11172161172161173,0.037728937728937734
drift_anchored,adversarial_b2p,dp_probe,precision_phish,3,6000,0.15880411835036276,0.004432357586269826,0.15881640053416754,0.15439161966156326,0.1648578811369509,0.005233130737693825
