strategy,arm_a,arm_b,slice,metric,n_paired_bootstraps,mean_diff_a_minus_b,p_two_sided,ci95_lo,ci95_hi
drift_anchored,adversarial_b2p,clean_gt,dp_probe,recall_benign,6000,-0.10804093406593404,0.0,-0.13882783882783883,-0.05842032967032972
drift_anchored,adversarial_b2p,clean_gt,dp_probe,precision_phish,6000,-0.016047018511921588,0.0,-0.021453829543060784,-0.008795121194214245
drift_anchored,adversarial_b2p,clean_gt,dp_probe,precision_benign,6000,-0.004125170596523647,0.5076666666666667,-0.018706472062097308,0.008706400002198897
drift_anchored,adversarial_b2p,clean_gt,dp_probe,accuracy,6000,-0.09070821661998132,0.0,-0.1168689698101463,-0.04901960784313725
drift_anchored,adversarial_b2p,clean_gt,dp_probe,auc,6000,-0.060539091725504764,0.0,-0.07970325309611023,-0.04376568910730416
drift_anchored,adversarial_b2p,llm,pp_test,f1_weighted,6000,0.020973981078087373,0.27566666666666667,-0.013294128053360083,0.05776157517422182
drift_anchored,adversarial_b2p,llm,pp_test,recall_phish,6000,0.24316702355460384,0.0,0.1905781584582441,0.29336188436830835
drift_anchored,adversarial_b2p,llm,pp_test,recall_benign,6000,-0.2052805044308112,0.0,-0.2535787321063395,-0.16155419222903877
drift_anchored,adversarial_b2p,llm,pp_test,precision_phish,6000,-0.17524422206065773,0.0,-0.21651202309145556,-0.13342028485511911
drift_anchored,adversarial_b2p,llm,pp_test,precision_benign,6000,0.12290458423245575,0.0,0.08718564580511629,0.1572803950708873
drift_anchored,adversarial_b2p,llm,pp_test,accuracy,6000,0.013783298465829846,0.443,-0.01882845188284521,0.04916317991631791
drift_anchored,adversarial_b2p,llm,pp_test,auc,6000,-0.07145802224236557,0.0,-0.10326147405665527,-0.046070838971286845
drift_anchored,adversarial_b2p,llm,kp_test,f1_weighted,6000,0.00020190445582971939,0.7813333333333333,-0.0033092795263015146,0.0038772606476354028
drift_anchored,adversarial_b2p,llm,kp_test,recall_phish,6000,0.004538572607260731,0.06266666666666666,-0.0012376237623762387,0.013613861386138626
drift_anchored,adversarial_b2p,llm,kp_test,recall_benign,6000,-0.0033256513026052137,0.235,-0.01102204408817642,0.002004008016032066
drift_anchored,adversarial_b2p,llm,kp_test,precision_phish,6000,-0.003941501882526057,0.429,-0.013168892157780937,0.0024921516169076614
drift_anchored,adversarial_b2p,llm,kp_test,precision_benign,6000,0.003514913672862073,0.16866666666666666,-0.0009651497018900085,0.010535106209849363
drift_anchored,adversarial_b2p,llm,kp_test,accuracy,6000,0.0001927833148763382,0.7733333333333333,-0.0033222591362126463,0.003875968992247958
drift_anchored,adversarial_b2p,llm,kp_test,auc,6000,-9.511659457528931e-05,0.688,-0.0007043790551399837,0.0007043790551399837
drift_anchored,adversarial_b2p,llm,dp_probe,f1_weighted,6000,-0.46979951870365433,0.0,-0.5233425644949825,-0.40902353209318226
drift_anchored,adversarial_b2p,llm,dp_probe,recall_phish,6000,0.061453416149068324,0.0,0.03209109730848869,0.08799171842650111
drift_anchored,adversarial_b2p,llm,dp_probe,recall_benign,6000,-0.4294710622710623,0.0,-0.46941391941391936,-0.38498168498168495
drift_anchored,adversarial_b2p,llm,dp_probe,precision_phish,6000,-0.0885090368940002,0.0,-0.09635730553577755,-0.08154358614884949
drift_anchored,adversarial_b2p,llm,dp_probe,precision_benign,6000,0.005345774651823644,0.49566666666666664,-0.009828127381711543,0.0210307203149662
drift_anchored,adversarial_b2p,llm,dp_probe,accuracy,6000,-0.3556719576719577,0.0,-0.3887371615312792,-0.32057267351385
drift_anchored,adversarial_b2p,llm,dp_probe,auc,6000,-0.06634351864491615,0.0,-0.09421504694408407,-0.03977526657262673
drift_anchored,adversarial_b2p,random_flip,pp_test,f1_weighted,6000,0.0642242399547451,0.0003333333333333333,0.02486553566626507,0.12081746477832568
drift_anchored,adversarial_b2p,random_flip,pp_test,recall_phish,6000,0.20970342612419698,0.0,0.1370449678800857,0.3233404710920771
drift_anchored,adversarial_b2p,random_flip,pp_test,recall_benign,6000,-0.0811237218813906,0.0,-0.11860940695296518,-0.04907975460122693
drift_anchored,adversarial_b2p,random_flip,pp_test,precision_phish,6000,-0.023328093466761724,0.14733333333333334,-0.05574758656942403,0.00832881270234212
drift_anchored,adversarial_b2p,random_flip,pp_test,precision_benign,6000,0.13039652069225685,0.0,0.08769562329520673,0.18931654500552605
drift_anchored,adversarial_b2p,random_flip,pp_test,accuracy,6000,0.060943514644351465,0.0003333333333333333,0.024058577405857706,0.11192468619246865
drift_anchored,adversarial_b2p,random_flip,pp_test,auc,6000,0.10674941285000929,0.0,0.056287248810008655,0.20014045620350043
drift_anchored,adversarial_b2p,random_flip,kp_test,f1_weighted,6000,-0.0011161837368255229,0.471,-0.0038709935828572517,0.0027763036121389003
drift_anchored,adversarial_b2p,random_flip,kp_test,recall_phish,6000,0.0020416666666666686,0.0,0.0,0.008663366336633671
drift_anchored,adversarial_b2p,random_flip,kp_test,recall_benign,6000,-0.0036842017368069508,0.06333333333333334,-0.009018036072144242,0.0010020040080159776
drift_anchored,adversarial_b2p,random_flip,kp_test,precision_phish,6000,-0.004424282766985785,0.103,-0.010649893679639078,0.0012343945068664652
drift_anchored,adversarial_b2p,random_flip,kp_test,precision_benign,6000,0.0015471328973758584,0.8576666666666667,-0.0001358329337012604,0.00680581385527411
drift_anchored,adversarial_b2p,random_flip,kp_test,accuracy,6000,-0.001122462163159838,0.3526666666666667,-0.003875968992248069,0.002768549280177224
drift_anchored,adversarial_b2p,random_flip,kp_test,auc,6000,-0.0006410149093566661,0.0,-0.0012153328935097184,-0.00025543041528598476
drift_anchored,adversarial_b2p,random_flip,dp_probe,f1_weighted,6000,-0.16194488439242669,0.0,-0.25867695280078007,-0.04660393538979869
drift_anchored,adversarial_b2p,random_flip,dp_probe,recall_phish,6000,0.008995859213250515,0.0,0.0020703933747412417,0.017598343685300222
