run_id,strategy,arm,seed,noise_rate_nominal,noise_n_flipped,noise_n_cached,noise_eff_rate,noise_served_phish_frac,noise_gt_phish_frac,pp_test_f1_weighted_point,pp_test_f1_weighted_ci_lo,pp_test_f1_weighted_ci_hi,pp_test_recall_phish_point,pp_test_recall_phish_ci_lo,pp_test_recall_phish_ci_hi,pp_test_recall_benign_point,pp_test_recall_benign_ci_lo,pp_test_recall_benign_ci_hi,pp_test_precision_phish_point,pp_test_precision_phish_ci_lo,pp_test_precision_phish_ci_hi,pp_test_precision_benign_point,pp_test_precision_benign_ci_lo,pp_test_precision_benign_ci_hi,pp_test_accuracy_point,pp_test_accuracy_ci_lo,pp_test_accuracy_ci_hi,pp_test_auc_point,pp_test_auc_ci_lo,pp_test_auc_ci_hi,kp_test_f1_weighted_point,kp_test_f1_weighted_ci_lo,kp_test_f1_weighted_ci_hi,kp_test_recall_phish_point,kp_test_recall_phish_ci_lo,kp_test_recall_phish_ci_hi,kp_test_recall_benign_point,kp_test_recall_benign_ci_lo,kp_test_recall_benign_ci_hi,kp_test_precision_phish_point,kp_test_precision_phish_ci_lo,kp_test_precision_phish_ci_hi,kp_test_precision_benign_point,kp_test_precision_benign_ci_lo,kp_test_precision_benign_ci_hi,kp_test_accuracy_point,kp_test_accuracy_ci_lo,kp_test_accuracy_ci_hi,kp_test_auc_point,kp_test_auc_ci_lo,kp_test_auc_ci_hi,dp_probe_f1_weighted_point,dp_probe_f1_weighted_ci_lo,dp_probe_f1_weighted_ci_hi,dp_probe_recall_phish_point,dp_probe_recall_phish_ci_lo,dp_probe_recall_phish_ci_hi,dp_probe_recall_benign_point,dp_probe_recall_benign_ci_lo,dp_probe_recall_benign_ci_hi,dp_probe_precision_phish_point,dp_probe_precision_phish_ci_lo,dp_probe_precision_phish_ci_hi,dp_probe_precision_benign_point,dp_probe_precision_benign_ci_lo,dp_probe_precision_benign_ci_hi,dp_probe_accuracy_point,dp_probe_accuracy_ci_lo,dp_probe_accuracy_ci_hi,dp_probe_auc_point,dp_probe_auc_ci_lo,dp_probe_auc_ci_hi
noise_clean_gt_drift_anchored_seed2025,drift_anchored,clean_gt,2025,0.0,0,1241,0.0,0.35374697824335216,0.35374697824335216,0.8690346634562707,0.8479592125936364,0.8910280827579254,0.8351177730192719,0.8008565310492506,0.8672912205567449,0.901840490797546,0.8752556237218814,0.9263803680981595,0.8904109589041096,0.8629541900247816,0.9166716152019002,0.8513513513513513,0.8262476894639557,0.8779527559055118,0.8692468619246861,0.8483263598326359,0.891213389121339,0.9366797598560187,0.9210551840709748,0.9512726448680389,0.9784040367350858,0.9711929342089362,0.9850453121218674,0.9752475247524752,0.9641089108910891,0.9851485148514851,0.9809619238476954,0.9719438877755511,0.9889779559118237,0.976456009913259,0.9656852219415374,0.9862847162914632,0.97997997997998,0.9710860183919301,0.9879154078549849,0.978405315614618,0.9712070874861573,0.9850498338870431,0.9971303994126868,0.9947890831167285,0.9986855207940634,0.2889087739577948,0.27649912915571884,0.30217058624809034,0.9865424430641822,0.979296066252588,0.9937888198757764,0.1684981684981685,0.15897435897435896,0.1787591575091575,0.1734935372292008,0.17147510061689858,0.17563135603731156,0.9860664523043944,0.9780695736322145,0.9933776659827537,0.29147214441332087,0.28322440087145967,0.3003423591658886,0.8702270986432477,0.8575655814165132,0.8829710334523997
noise_clean_gt_drift_anchored_seed2026,drift_anchored,clean_gt,2026,0.0,0,1241,0.0,0.35938759065269943,0.35938759065269943,0.8816468303179262,0.8607922187896893,0.9024887174147767,0.8522483940042827,0.8179871520342612,0.8843683083511777,0.9100204498977505,0.8834355828220859,0.934560327198364,0.9004524886877828,0.875,0.9260163867561058,0.8657587548638133,0.8395481364687081,0.8927161654135338,0.8817991631799164,0.8608786610878661,0.9027196652719666,0.9399902786353307,0.924347530028945,0.954646768522046,0.9778489683679736,0.9706550105577388,0.9844961240310077,0.974009900990099,0.9628712871287128,0.9839108910891089,0.9809619238476954,0.9719438877755511,0.9889779559118237,0.9764267990074442,0.9658952496954933,0.9862332212140176,0.979,0.9701187771347313,0.9869350013117798,0.9778516057585825,0.9706533776301218,0.9844961240310077,0.9973077342804422,0.9957786240798429,0.9984872901744082,0.28992384435692026,0.27686040547164514,0.30238120824076975,0.984472049689441,0.9761904761904762,0.9917184265010351,0.16941391941391942,0.15915750915750915,0.1793040293040293,0.17335034633612834,0.17131518808362445,0.175429067569217,0.9840425531914894,0.9758584532237192,0.9914165390153136,0.29193899782135074,0.28322440087145967,0.3003423591658886,0.8726857855739844,0.8602633731865098,0.8846609873046208
noise_clean_gt_drift_anchored_seed2027,drift_anchored,clean_gt,2027,0.0,0,1246,0.0,0.3563402889245586,0.3563402889245586,0.8722102356063368,0.8503087326493926,0.8922644596307221,0.841541755888651,0.8072805139186295,0.8758029978586723,0.901840490797546,0.8732106339468303,0.9263803680981595,0.891156462585034,0.863420995266567,0.9164828332334002,0.8563106796116505,0.8308198919085423,0.8843192844147968,0.8723849372384938,0.850418410041841,0.8922855648535564,0.934183733792252,0.9186993952610537,0.9489570333197583,0.9806166750190745,0.9739645013262691,0.9867094205816432,0.9764851485148515,0.9653465346534653,0.9863861386138614,0.9839679358717435,0.9759519038076152,0.9909819639278558,0.9801242236024845,0.9705141549969136,0.9887784042384699,0.981018981018981,0.9722497522299306,0.988877935063476,0.9806201550387597,0.9739756367663345,0.9867109634551495,0.9982750153772892,0.9973038589555347,0.9990565288993829,0.3198587300577914,0.3070674171016075,0.3327416760151584,0.9855072463768116,0.9772256728778468,0.9927536231884058,0.19322344322344323,0.1829624542124542,0.2036675824175824,0.17771140563748367,0.1755920335639745,0.1799021452766278,0.9869036482694107,0.9796304360735565,0.9933837429111532,0.3123249299719888,0.3034547152194211,0.3213507625272331,0.8743972728444778,0.8612997121925693,0.8867101648351647
noise_random_r0.30_drift_anchored_seed2025,drift_anchored,random_flip,2025,0.3,390,1250,0.312,0.412,0.2712,0.7015706036757292,0.672968080988336,0.7302344215605895,0.550321199143469,0.5053533190578159,0.5952890792291221,0.8609406952965235,0.8282208588957055,0.8916155419222904,0.7907692307692308,0.7516334598355471,0.830003205128205,0.6671949286846276,0.644409111933395,0.6914230115380378,0.7092050209205021,0.6820083682008368,0.7364016736401674,0.6616352036012839,0.6257779281232074,0.6989010916829783,0.9795065388336702,0.9728219670776128,0.9856219038311498,0.974009900990099,0.9628712871287128,0.9851485148514851,0.9839679358717435,0.9759519038076152,0.9909819639278558,0.9800747198007472,0.9702602230483272,0.9887640449438202,0.9790628115653041,0.9702373563626047,0.9878070315768748,0.9795127353266888,0.9728543743078626,0.9856173864894795,0.9980356753110181,0.996844958481319,0.998942222315919,0.3889056400678722,0.3764487453225709,0.40202233276615285,0.979296066252588,0.9699792960662525,0.9875776397515528,0.2523809523809524,0.2413919413919414,0.2641071428571428,0.18814638027048528,0.18539657547726826,0.19100460724014304,0.9856938483547926,0.9791507925454126,0.9913358963539469,0.3616557734204793,0.3521630874572051,0.37177093059446,0.7774856096284668,0.7632844316656429,0.791074514253862
noise_random_r0.30_drift_anchored_seed2026,drift_anchored,random_flip,2026,0.3,372,1250,0.2976,0.4344,0.3032,0.7797053127058257,0.7530195539265088,0.8053484738114525,0.6980728051391863,0.6531049250535332,0.7387580299785867,0.8609406952965235,0.8302658486707567,0.8916155419222904,0.8274111675126904,0.7959156961213805,0.8605263157894737,0.7491103202846975,0.7222175141242938,0.7755512824885735,0.7813807531380753,0.7552301255230126,0.8065115062761504,0.8033131461751684,0.7742350993812483,0.8318933014542634,0.9795065388336702,0.9728457980115173,0.9856018294391828,0.974009900990099,0.9616336633663366,0.9839108910891089,0.9839679358717435,0.9759519038076152,0.9919839679358717,0.9800747198007472,0.9705159705159705,0.9898737377778488,0.9790628115653041,0.9693978282329714,0.986986986986987,0.9795127353266888,0.9728682170542635,0.9856035437430787,0.9981547252921685,0.9971241988928352,0.9989834247703328,0.3550264663060124,0.34180953280366605,0.36808088189775523,0.984472049689441,0.9761904761904762,0.9917184265010351,0.22252747252747251,0.2113507326007326,0.2336996336996337,0.18302540415704388,0.18066338621216674,0.18559981547483198,0.9878048780487805,0.981437796201078,0.9935278998879459,0.3370681605975724,0.32772720199190786,0.3467164643635232,0.8010886628899052,0.7882599263228145,0.8138699908614505
noise_random_r0.30_drift_anchored_seed2027,drift_anchored,random_flip,2027,0.3,381,1250,0.3048,0.4376,0.3104,0.7518759332824789,0.7227862766399781,0.7790749965819782,0.6852248394004282,0.6423982869379015,0.728051391862955,0.8179959100204499,0.7832310838445807,0.8507668711656439,0.78239608801956,0.7488032442525382,0.8170426065162907,0.7312614259597806,0.7038311887350728,0.7596158256880734,0.7531380753138075,0.7248953974895398,0.7803347280334728,0.792116060832972,0.7634508436130196,0.8210782832595472,0.9850434369321122,0.9795012804267416,0.9905829047350336,0.9789603960396039,0.9678217821782178,0.9876237623762376,0.9899799599198397,0.9839679358717435,0.9959919839679359,0.9875156054931336,0.9799743413602844,0.9949622166246851,0.9830845771144279,0.9744094488188977,0.9900199600798403,0.9850498338870431,0.9795127353266888,0.9905869324473976,0.9986879699994048,0.9978110924819937,0.9993676089803369,0.19087332162291876,0.1794761262475229,0.20256701437664712,0.9875776397515528,0.9803312629399586,0.9937888198757764,0.09633699633699634,0.08846153846153847,0.1043956043956044,0.16202445652173914,0.16048714280771642,0.16358658453114305,0.9776951672862454,0.9645503333686806,0.988950276243094,0.2303143479614068,0.22377450980392158,0.23731714908185497,0.7950693543861247,0.7817054912823546,0.8083372579801151
noise_adv_p2b_r0.30_drift_anchored_seed2025,drift_anchored,adversarial_p2b,2025,0.3,141,1250,0.1128,0.2832,0.396,0.8043931681033071,0.7787050004212283,0.8274679276144336,0.6659528907922913,0.6231263383297645,0.708779443254818,0.9447852760736196,0.9243353783231084,0.9631901840490797,0.9201183431952663,0.8925589803959254,0.9464285714285714,0.7475728155339806,0.7233325548294954,0.7720481453812806,0.8085774058577406,0.7845188284518828,0.8305439330543933,0.9129499962778559,0.894041175672066,0.9316097616514057,0.9795115220307224,0.9723112104599669,0.9856035856880386,0.9764851485148515,0.9653465346534653,0.9863861386138614,0.9819639278557114,0.9729458917835672,0.9899799599198397,0.9776951672862454,0.967032967032967,0.9874371859296482,0.980980980980981,0.9721939465491065,0.9889001009081736,0.9795127353266888,0.9723145071982281,0.9856035437430787,0.9976574436000714,0.9956310207047758,0.9989819676481677,0.49177378455377513,0.4793845902256473,0.504132432850498,0.9699792960662525,0.9596014492753623,0.9803312629399586,0.35128205128205126,0.33882783882783885,0.3641025641025641,0.2091984818039741,0.2055333784639574,0.2128296303777328,0.9851052901900359,0.9797295494534022,0.9902864226576925,0.44428882664176783,0.4335511982570806,0.4551859632741985,0.8709488923774638,0.8588218333598768,0.8831587434304825
noise_adv_p2b_r0.30_drift_anchored_seed2026,drift_anchored,adversarial_p2b,2026,0.3,133,1250,0.1064,0.28,0.3864,0.8232537239668218,0.7993216658680409,0.8474765106339726,0.6980728051391863,0.6552462526766595,0.7408993576017131,0.9488752556237219,0.9284253578732107,0.967280163599182,0.9287749287749287,0.9022292032263778,0.9537605570455265,0.7669421487603306,0.7427641026441483,0.7934609476423491,0.8263598326359832,0.803347280334728,0.8493723849372385,0.9289420790583413,0.912148093167457,0.9450678306030311,0.9806093825603956,0.9739577740934436,0.9867061561648502,0.9727722772277227,0.9603960396039604,0.9827042079207919,0.9869739478957916,0.9799599198396793,0.9939879759519038,0.983729662077597,0.9750926233606519,0.9923954372623575,0.9781529294935452,0.9685958921937028,0.9861017969263526,0.9806201550387597,0.9739756367663345,0.9867109634551495,0.9980505565586619,0.996922961021052,0.9989261319669042,0.5779280232346874,0.5664135574773813,0.5895232096740782,0.9513457556935818,0.937888198757764,0.9637681159420289,0.4467032967032967,0.43351648351648353,0.46007326007326005,0.233248730964467,0.22837447625277052,0.23829330510271454,0.9810941271118262,0.9759612975951903,0.9859163410814142,0.5225645813881108,0.5113600995953937,0.5343915343915344,0.8782777436504144,0.865852847549276,0.8901725375211399
noise_adv_p2b_r0.30_drift_anchored_seed2027,drift_anchored,adversarial_p2b,2027,0.3,143,1250,0.1144,0.2968,0.4112,0.8329540605597867,0.8096077930405002,0.8553710119652385,0.7366167023554604,0.69593147751606,0.7773019271948608,0.9284253578732107,0.9059304703476483,0.950920245398773,0.9076517150395779,0.8806336766681594,0.9346137657561862,0.7868284228769498,0.7613382281240141,0.8137548295931777,0.8347280334728033,0.8117154811715481,0.856694560669456,0.9263278201810277,0.9099177625096885,0.9418776246589858,0.9806118626897748,0.9739645013262691,0.9867061561648502,0.974009900990099,0.9628712871287128,0.9839108910891089,0.9859719438877755,0.9779559118236473,0.9929859719438878,0.982521847690387,0.9730061349693252,0.9911838790931989,0.9791044776119403,0.9703557312252964,0.9869608826479438,0.9806201550387597,0.9739756367663345,0.9867109634551495,0.9986755689597016,0.9978482956011032,0.9992772674060992,0.5661451796554271,0.5540715320811838,0.5783484535778449,0.9451345755693582,0.9306159420289855,0.9585921325051759,0.4340659340659341,0.4206959706959707,0.44780677655677653,0.2280789407944042,0.22322283480820065,0.23327463187813705,0.9781262897234833,0.972423978662106,0.9835329946730466,0.5108932461873639,0.4993775287892935,0.5228758169934641,0.863990512592997,0.8506028361734883,0.877049774759402
noise_adv_b2p_r0.30_drift_anchored_seed2025,drift_anchored,adversarial_b2p,2025,0.3,273,1250,0.2184,0.5056,0.2872,0.8031664573737075,0.7780379937531877,0.8284678367949992,0.8436830835117773,0.8094218415417559,0.8758029978586723,0.7648261758691206,0.7280163599182005,0.8016359918200409,0.7740667976424361,0.7461832061068703,0.8040904789335088,0.8366890380313199,0.808556175886354,0.8674495494523282,0.803347280334728,0.7782426778242678,0.8284780334728032,0.8429123807271756,0.8151830638063083,0.8697489304309366,0.9778516057585825,0.970631297394244,0.9844923923288514,0.9752475247524752,0.9641089108910891,0.9851485148514851,0.9799599198396793,0.9709418837675351,0.9879759519038076,0.9752475247524752,0.9644607843137255,0.9850374064837906,0.9799599198396793,0.970970970970971,0.9879032258064516,0.9778516057585825,0.9706395348837209,0.9844961240310077,0.9972457290819263,0.9955588776563027,0.9985416997361058,0.20412714743018712,0.19291202409336353,0.21602363176774242,0.989648033126294,0.9824016563146998,0.9958592132505176,0.1054945054945055,0.09779761904761905,0.11391941391941392,0.1636986301369863,0.16211168783289318,0.16528500985135364,0.9829351535836177,0.9713774597495528,0.9926099681212998,0.23840647370059134,0.23171490818549642,0.24572051042639279,0.7960398986796503,0.7824844720496894,0.8088527186236815
