metric,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half,n_seeds,n_bootstraps_total
f1_weighted,0.7913204722796693,0.008795242337705395,0.791327584139192,0.7625976556509717,0.8214267430998754,0.029414543724451847,5,10000
f1_phish,0.7490383253524184,0.01246848049641636,0.7489554480032002,0.7089922132374962,0.7903445991041289,0.04067619293331637,5,10000
precision_phish,0.9562394038179189,0.008516193941036605,0.9561739444515861,0.9276315789473685,0.982078853046595,0.02722363704961328,5,10000
recall_phish,0.6158458244111349,0.017761405870087964,0.6161053533190578,0.563169164882227,0.6723768736616702,0.054603854389721596,5,10000
precision_benign,0.7262888742798785,0.008824272183502702,0.726587142409171,0.7007404703974047,0.7563694267515924,0.027814478177093815,5,10000
recall_benign,0.9730061349693251,0.005674616329452607,0.97289427402863,0.9550102249488752,0.9897750511247444,0.01738241308793459,5,10000
accuracy,0.7985355648535565,0.007848674260378278,0.7986051255230127,0.7730125523012552,0.8263598326359832,0.02667364016736401,5,10000
auc,0.932853395690195,0.00889641964030852,0.932807930356494,0.9111324951940549,0.9538455222606114,0.02135651353327822,5,10000
