metric,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half,n_seeds,n_bootstraps_total
f1_weighted,0.7787445139917175,0.016668156185637276,0.7787349770853492,0.7429115440518576,0.8206685806060167,0.038878518277079555,5,10000
f1_phish,0.7311543855234356,0.023364527960291585,0.7310437867713032,0.6803840877914952,0.7890137328339576,0.05431482252123121,5,10000
precision_phish,0.9551741673261926,0.009919825116534602,0.9551227181520592,0.9257920685703371,0.9825205176767676,0.028364224553215245,5,10000
recall_phish,0.5927194860813705,0.030411375843506915,0.5929449678800857,0.5310492505353319,0.6702355460385439,0.06959314775160597,5,10000
precision_benign,0.714763202195673,0.015436295811703058,0.7150358111193962,0.6845132664934501,0.7554867586998012,0.03548674610317554,5,10000
recall_benign,0.9734151329243353,0.005962118501886801,0.9733177914110429,0.9550102249488752,0.9897750511247444,0.01738241308793459,5,10000
accuracy,0.7874476987447698,0.014874168031676526,0.7875080543933054,0.7562761506276151,0.8253138075313807,0.03451882845188281,5,10000
auc,0.9315510831439419,0.010367341476627361,0.9315056037974627,0.9088948297228534,0.9551201376755428,0.02311265397634471,5,10000
