run_id,strategy,oracle,round,kp_f1w,kp_recall_phish
badge_llm_periodic_temporal,badge,llm,0,0.9806166750190743,0.9764851485148516
badge_llm_periodic_temporal,badge,llm,1,0.9795065388336702,0.974009900990099
badge_llm_periodic_temporal,badge,llm,2,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,3,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,4,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,5,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,6,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,7,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,8,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,9,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,10,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,11,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,12,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,13,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,14,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal,badge,llm,15,0.9794986732224982,0.9702970297029704
badge_llm_periodic_temporal,badge,llm,16,0.9783876197090462,0.9678217821782178
badge_llm_periodic_temporal,badge,llm,17,0.9783876197090462,0.9678217821782178
badge_llm_periodic_temporal,badge,llm,18,0.9767266837076678,0.9665841584158416
badge_llm_periodic_temporal,badge,llm,19,0.9772792925146382,0.9665841584158416
badge_llm_periodic_temporal,badge,llm,20,0.9767266837076678,0.9665841584158416
badge_llm_periodic_temporal,badge,llm,21,0.97561843055089,0.9653465346534652
badge_llm_periodic_temporal,badge,llm,22,0.9750626381258224,0.9641089108910892
badge_llm_periodic_temporal,badge,llm,23,0.9745101773941124,0.9641089108910892
badge_llm_periodic_temporal,badge,llm,24,0.9739543109314144,0.9628712871287128
badge_llm_periodic_temporal,badge,llm,25,0.9739543109314144,0.9628712871287128
badge_llm_periodic_temporal_B,badge,llm,0,0.9806166750190743,0.9764851485148516
badge_llm_periodic_temporal_B,badge,llm,1,0.9795065388336702,0.974009900990099
badge_llm_periodic_temporal_B,badge,llm,2,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,3,0.9783987841760308,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,4,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,5,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,6,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,7,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,8,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,9,0.9795039691291906,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,10,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,11,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,12,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,13,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,14,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,15,0.9806093825603956,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,16,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,17,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,18,0.9800540703800976,0.9715346534653464
badge_llm_periodic_temporal_B,badge,llm,19,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,20,0.9800566467600328,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,21,0.9789513486176784,0.9727722772277227
badge_llm_periodic_temporal_B,badge,llm,22,0.977843524860714,0.9715346534653464
badge_llm_periodic_temporal_B,badge,llm,23,0.977843524860714,0.9715346534653464
badge_llm_periodic_temporal_B,badge,llm,24,0.9761772414313432,0.9678217821782178
