selector,oracle_acc,oracle_n_eval,oracle_f1w,oracle_f1macro,oracle_prec_phish,oracle_rec_phish,oracle_prec_benign,oracle_rec_benign,n_labels,pp_f1w,pp_f1macro,pp_prec_phish,pp_rec_phish,pp_prec_benign,pp_rec_benign,dp_f1macro,dp_f1w,dp_f1_phish,dp_pr_auc,kp_f1w
drift_anchored,0.8288,1230,0.8158,0.7998,0.9893,0.5711,0.7811,0.9960,1247,0.8005,0.7996,0.9519,0.636,0.736,0.9693,0.5333,0.6268,0.3996,0.6805,0.9784
margin,0.712,1225,0.7003,0.7059,0.9892,0.5111,0.5873,0.9921,1246,0.7771,0.7761,0.9486,0.5931,0.7139,0.9693,0.6901,0.7993,0.5339,0.7574,0.9728
qbc,0.6984,1225,0.6866,0.6926,0.9839,0.4993,0.5698,0.9878,1246,0.7789,0.7778,0.9398,0.6017,0.7169,0.9632,0.7114,0.8151,0.5632,0.7826,0.9728
core_set,0.7304,1225,0.7167,0.7210,0.9828,0.5127,0.6279,0.9892,1245,0.7761,0.7751,0.9454,0.5931,0.7134,0.9673,0.6773,0.7837,0.5252,0.7641,0.9778
badge,0.7192,1227,0.7055,0.7109,0.9810,0.5135,0.6019,0.9866,1248,0.769,0.7679,0.9443,0.5803,0.707,0.9673,0.6993,0.8037,0.5501,0.7524,0.9745
hybrid,0.7144,1227,0.7031,0.7082,0.9870,0.5199,0.5848,0.9900,1248,0.7785,0.7774,0.9458,0.5974,0.7156,0.9673,0.7077,0.8135,0.5563,0.7734,0.9723
random,0.8688,1228,0.8559,0.7727,0.9621,0.4585,0.8631,0.9947,1241,0.7446,0.7432,0.9434,0.5353,0.686,0.9693,0.6389,0.7461,0.4857,0.7218,0.979
