run_id,strategy,oracle,round,n_accepted,pp_f1w,pp_recall_phish,pp_ece
badge_llm_periodic_temporal,badge,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
badge_llm_periodic_temporal,badge,llm,1,50,0.6104658413533244,0.3297644539614561,0.3153326774066391
badge_llm_periodic_temporal,badge,llm,2,100,0.6148084113231078,0.3361884368308351,0.3100587768877708
badge_llm_periodic_temporal,badge,llm,3,150,0.6174425725529665,0.3361884368308351,0.3083663989683132
badge_llm_periodic_temporal,badge,llm,4,200,0.6342632289987242,0.3533190578158458,0.2950955945068204
badge_llm_periodic_temporal,badge,llm,5,250,0.6507263918180708,0.3768736616702355,0.2835518343185075
badge_llm_periodic_temporal,badge,llm,6,300,0.6479214343050653,0.3725910064239828,0.2797790488847171
badge_llm_periodic_temporal,badge,llm,7,350,0.653519992110172,0.3811563169164882,0.2792199002897509
badge_llm_periodic_temporal,badge,llm,8,400,0.6549125742011366,0.3832976445396145,0.2716877290678374
badge_llm_periodic_temporal,badge,llm,9,450,0.653519992110172,0.3811563169164882,0.2744515533704659
badge_llm_periodic_temporal,badge,llm,10,500,0.6821991665245881,0.4261241970021413,0.2471028990296993
badge_llm_periodic_temporal,badge,llm,11,550,0.6839378680171366,0.430406852248394,0.2452633621130283
badge_llm_periodic_temporal,badge,llm,12,600,0.6971432751152883,0.4518201284796574,0.2340008060175081
badge_llm_periodic_temporal,badge,llm,13,650,0.71140314400109,0.4753747323340471,0.2247318102012346
badge_llm_periodic_temporal,badge,llm,14,700,0.7174794386278467,0.4839400428265524,0.2286570016263369
badge_llm_periodic_temporal,badge,llm,15,749,0.7078022920632888,0.4646680942184154,0.2344138431167052
badge_llm_periodic_temporal,badge,llm,16,799,0.7155497032070212,0.4775160599571734,0.2291730205255342
badge_llm_periodic_temporal,badge,llm,17,848,0.7197128027493656,0.4860813704496788,0.227345060527355
badge_llm_periodic_temporal,badge,llm,18,897,0.7273267687755315,0.4989293361884368,0.221444299358397
badge_llm_periodic_temporal,badge,llm,19,946,0.7373652659174452,0.5160599571734475,0.2123700644731735
badge_llm_periodic_temporal,badge,llm,20,996,0.7448124484250034,0.5289079229122056,0.2051666145853915
badge_llm_periodic_temporal,badge,llm,21,1046,0.7463046413752481,0.5331905781584583,0.2022387602263337
badge_llm_periodic_temporal,badge,llm,22,1096,0.7463046413752481,0.5331905781584583,0.2006140064842115
badge_llm_periodic_temporal,badge,llm,23,1146,0.7524373845753569,0.5438972162740899,0.1989712716948138
badge_llm_periodic_temporal,badge,llm,24,1196,0.7524373845753569,0.5438972162740899,0.1992924049374622
badge_llm_periodic_temporal,badge,llm,25,1246,0.7609487305861562,0.5588865096359743,0.1946176295518755
badge_llm_periodic_temporal_B,badge,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
badge_llm_periodic_temporal_B,badge,llm,1,50,0.6104658413533244,0.3297644539614561,0.3153326774066391
badge_llm_periodic_temporal_B,badge,llm,2,100,0.6171288425801975,0.3383297644539614,0.3068204402501555
badge_llm_periodic_temporal_B,badge,llm,3,150,0.6354829201869059,0.3618843683083512,0.2896824910020812
badge_llm_periodic_temporal_B,badge,llm,4,200,0.6507972232383049,0.3811563169164882,0.2774941379757585
badge_llm_periodic_temporal_B,badge,llm,5,248,0.6595412985758833,0.3918629550321199,0.2669783671000236
badge_llm_periodic_temporal_B,badge,llm,6,298,0.6781724329430854,0.4197002141327623,0.2522549184320833
badge_llm_periodic_temporal_B,badge,llm,7,348,0.6932065129253024,0.4453961456102783,0.2457945462718236
badge_llm_periodic_temporal_B,badge,llm,8,398,0.709165959070866,0.4732334047109208,0.2292526760782856
badge_llm_periodic_temporal_B,badge,llm,9,448,0.707879389498322,0.4710920770877944,0.2299269603895982
badge_llm_periodic_temporal_B,badge,llm,10,498,0.729464855541914,0.5074946466809421,0.2131321344373595
badge_llm_periodic_temporal_B,badge,llm,11,548,0.7369443294453119,0.5203426124197003,0.2076996327431428
badge_llm_periodic_temporal_B,badge,llm,12,598,0.7492595903869769,0.5417558886509636,0.2063678893229467
badge_llm_periodic_temporal_B,badge,llm,13,648,0.7495035557428357,0.5438972162740899,0.2079587838049151
badge_llm_periodic_temporal_B,badge,llm,14,698,0.7381842003321463,0.5224839400428265,0.2103857506280743
badge_llm_periodic_temporal_B,badge,llm,15,748,0.7354272857806643,0.5160599571734475,0.2141950729699136
badge_llm_periodic_temporal_B,badge,llm,16,798,0.7304301395283697,0.5074946466809421,0.2113421469907868
badge_llm_periodic_temporal_B,badge,llm,17,848,0.7319657588635222,0.5117773019271948,0.2103482892275217
badge_llm_periodic_temporal_B,badge,llm,18,898,0.7381842003321463,0.5224839400428265,0.2054519511866497
badge_llm_periodic_temporal_B,badge,llm,19,948,0.7495035557428357,0.5438972162740899,0.1996587032267613
badge_llm_periodic_temporal_B,badge,llm,20,998,0.7582248964261714,0.5610278372591007,0.1934583176707484
badge_llm_periodic_temporal_B,badge,llm,21,1048,0.7664147852617884,0.5738758029978587,0.1877608313398025
badge_llm_periodic_temporal_B,badge,llm,22,1098,0.7699964555384669,0.5802997858672377,0.1868920857726251
badge_llm_periodic_temporal_B,badge,llm,23,1148,0.7699964555384669,0.5802997858672377,0.1862170629504282
badge_llm_periodic_temporal_B,badge,llm,24,1198,0.76900799597283,0.5802997858672377,0.1853104650260889
badge_llm_periodic_temporal_B,badge,llm,25,1248,0.76900799597283,0.5802997858672377,0.1829768025541764
core_set_llm_periodic_temporal,core_set,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
core_set_llm_periodic_temporal,core_set,llm,1,50,0.6119164675262668,0.3319057815845824,0.3145406675602451
core_set_llm_periodic_temporal,core_set,llm,2,99,0.6162497642959234,0.3383297644539614,0.3076972436563063
core_set_llm_periodic_temporal,core_set,llm,3,149,0.6304980646756319,0.3597430406852248,0.2875027150832342
core_set_llm_periodic_temporal,core_set,llm,4,198,0.6504082472625549,0.3875802997858672,0.2709134722215874
core_set_llm_periodic_temporal,core_set,llm,5,248,0.6752839283986858,0.4239828693790149,0.2509574961399892
core_set_llm_periodic_temporal,core_set,llm,6,298,0.6892486099979787,0.4389721627408993,0.2424910378369405
core_set_llm_periodic_temporal,core_set,llm,7,348,0.6915086201070842,0.4411134903640257,0.2467876271159394
core_set_llm_periodic_temporal,core_set,llm,8,397,0.7020052391163907,0.4582441113490364,0.2404920533802204
core_set_llm_periodic_temporal,core_set,llm,9,447,0.7029516285004126,0.4582441113490364,0.242070434729159
core_set_llm_periodic_temporal,core_set,llm,10,497,0.72256868524995,0.4925053533190578,0.2219686731051364
core_set_llm_periodic_temporal,core_set,llm,11,547,0.7379142556777697,0.5203426124197003,0.2169351285978297
core_set_llm_periodic_temporal,core_set,llm,12,597,0.7468111589962033,0.5374732334047109,0.2085181699212405
core_set_llm_periodic_temporal,core_set,llm,13,646,0.7455842418385237,0.5353319057815846,0.2040912194875719
core_set_llm_periodic_temporal,core_set,llm,14,696,0.7403936163630986,0.5246252676659529,0.210115847939186
core_set_llm_periodic_temporal,core_set,llm,15,746,0.7311061235497196,0.5053533190578159,0.2154983474008514
core_set_llm_periodic_temporal,core_set,llm,16,795,0.7351489390475503,0.5139186295503212,0.2124445334123516
core_set_llm_periodic_temporal,core_set,llm,17,843,0.7338998579100793,0.5117773019271948,0.2105712794134433
core_set_llm_periodic_temporal,core_set,llm,18,892,0.7376412833891943,0.5182012847965739,0.2045739977274688
core_set_llm_periodic_temporal,core_set,llm,19,942,0.7477869756754196,0.5374732334047109,0.1981328318267774
core_set_llm_periodic_temporal,core_set,llm,20,992,0.7538982302034876,0.5481798715203426,0.1930474387499202
core_set_llm_periodic_temporal,core_set,llm,21,1042,0.7601905973024495,0.5610278372591007,0.189244146398194
core_set_llm_periodic_temporal,core_set,llm,22,1092,0.7551151753996783,0.550321199143469,0.1919434481928045
core_set_llm_periodic_temporal,core_set,llm,23,1142,0.7575438491114479,0.5546038543897216,0.1919286087060966
core_set_llm_periodic_temporal,core_set,llm,24,1192,0.7563303780201239,0.5524625267665952,0.1922345182443474
core_set_llm_periodic_temporal,core_set,llm,25,1242,0.7597380224226565,0.556745182012848,0.1928816390792223
core_set_llm_periodic_temporal_B,core_set,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
core_set_llm_periodic_temporal_B,core_set,llm,1,50,0.6119164675262668,0.3319057815845824,0.3145406675602451
core_set_llm_periodic_temporal_B,core_set,llm,2,99,0.6219847911695247,0.3468950749464668,0.3029110509423923
core_set_llm_periodic_temporal_B,core_set,llm,3,148,0.638808494330523,0.3683083511777302,0.2866186782519747
core_set_llm_periodic_temporal_B,core_set,llm,4,198,0.6517832041984475,0.3897216274089936,0.2679479782650635
core_set_llm_periodic_temporal_B,core_set,llm,5,248,0.6820724177004555,0.430406852248394,0.2479704652040376
core_set_llm_periodic_temporal_B,core_set,llm,6,298,0.6935802606609507,0.4475374732334047,0.2366487683232472
core_set_llm_periodic_temporal_B,core_set,llm,7,348,0.6978673684960882,0.45610278372591,0.2367229401010524
core_set_llm_periodic_temporal_B,core_set,llm,8,398,0.709497975648586,0.4753747323340471,0.2288067267681333
core_set_llm_periodic_temporal_B,core_set,llm,9,447,0.705640917387198,0.4689507494646681,0.2294435261916878
core_set_llm_periodic_temporal_B,core_set,llm,10,497,0.7282114575491793,0.5053533190578159,0.2134448392605683
core_set_llm_periodic_temporal_B,core_set,llm,11,547,0.7406582980772867,0.5267665952890792,0.2061246370269982
core_set_llm_periodic_temporal_B,core_set,llm,12,597,0.7521762069379416,0.550321199143469,0.1985720414796341
core_set_llm_periodic_temporal_B,core_set,llm,13,647,0.7497447125612082,0.5460385438972163,0.1995757214368479
core_set_llm_periodic_temporal_B,core_set,llm,14,697,0.7406582980772867,0.5267665952890792,0.2074431505489771
core_set_llm_periodic_temporal_B,core_set,llm,15,747,0.7344588851430881,0.5160599571734475,0.2123036331711446
core_set_llm_periodic_temporal_B,core_set,llm,16,797,0.7433815080016278,0.5331905781584583,0.2047409276360947
core_set_llm_periodic_temporal_B,core_set,llm,17,845,0.7455842418385237,0.5353319057815846,0.2042801833357941
core_set_llm_periodic_temporal_B,core_set,llm,18,895,0.7480362714122522,0.5396145610278372,0.1993855914067313
core_set_llm_periodic_temporal_B,core_set,llm,19,945,0.7628185856841028,0.5674518201284796,0.1916360652907036
core_set_llm_periodic_temporal_B,core_set,llm,20,995,0.766623069496588,0.576017130620985,0.1877403863018616
core_set_llm_periodic_temporal_B,core_set,llm,21,1045,0.7678163271549453,0.5781584582441114,0.182694693411524
core_set_llm_periodic_temporal_B,core_set,llm,22,1095,0.7699964555384669,0.5802997858672377,0.1824088783141819
core_set_llm_periodic_temporal_B,core_set,llm,23,1145,0.7723763035363477,0.5845824411134903,0.1824129132663716
core_set_llm_periodic_temporal_B,core_set,llm,24,1195,0.7725735731301635,0.5867237687366167,0.1807976506199426
core_set_llm_periodic_temporal_B,core_set,llm,25,1245,0.7761252225097263,0.5931477516059958,0.1796636596411993
drift_anchored_B_kimi_seed2025,drift_anchored,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
drift_anchored_B_kimi_seed2025,drift_anchored,llm,1,26,0.6172196917808749,0.3490364025695932,0.317565330742559
drift_anchored_B_kimi_seed2025,drift_anchored,llm,2,47,0.6172196917808749,0.3490364025695932,0.3189363748175854
drift_anchored_B_kimi_seed2025,drift_anchored,llm,3,67,0.6187903145959465,0.3447537473233404,0.3118725748012443
drift_anchored_B_kimi_seed2025,drift_anchored,llm,4,87,0.6185684968379421,0.3404710920770878,0.311419928093829
drift_anchored_B_kimi_seed2025,drift_anchored,llm,5,117,0.6165641745020001,0.3361884368308351,0.3116976678495725
drift_anchored_B_kimi_seed2025,drift_anchored,llm,6,142,0.6192004378850793,0.3361884368308351,0.3100709783700186
drift_anchored_B_kimi_seed2025,drift_anchored,llm,7,160,0.6165880472209979,0.3297644539614561,0.314719206028846
drift_anchored_B_kimi_seed2025,drift_anchored,llm,8,179,0.6165880472209979,0.3297644539614561,0.3141565247558291
drift_anchored_B_kimi_seed2025,drift_anchored,llm,9,204,0.6168741238484979,0.3276231263383297,0.3149114260123039
drift_anchored_B_kimi_seed2025,drift_anchored,llm,10,222,0.6168741238484979,0.3276231263383297,0.3158572367970074
drift_anchored_B_kimi_seed2025,drift_anchored,llm,11,240,0.6177495522946349,0.3276231263383297,0.3155445327277096
drift_anchored_B_kimi_seed2025,drift_anchored,llm,12,256,0.6177495522946349,0.3276231263383297,0.3159500468321868
drift_anchored_B_kimi_seed2025,drift_anchored,llm,13,275,0.6162784608842586,0.3254817987152034,0.318315481086789
drift_anchored_B_kimi_seed2025,drift_anchored,llm,14,292,0.6156770749262657,0.3233404710920771,0.3200353801631162
drift_anchored_B_kimi_seed2025,drift_anchored,llm,15,314,0.6141979959456643,0.3211991434689507,0.321589809400114
drift_anchored_B_kimi_seed2025,drift_anchored,llm,16,329,0.6141979959456643,0.3211991434689507,0.3218073959802849
drift_anchored_B_kimi_seed2025,drift_anchored,llm,17,342,0.6150699202728401,0.3211991434689507,0.3218924157243467
drift_anchored_B_kimi_seed2025,drift_anchored,llm,18,355,0.6120988891164624,0.3169164882226981,0.3250675178791004
drift_anchored_B_kimi_seed2025,drift_anchored,llm,19,372,0.6406983432184395,0.3576017130620985,0.3046830447723596
drift_anchored_B_kimi_seed2025,drift_anchored,llm,20,384,0.6392671055522899,0.3554603854389722,0.3050576776304137
drift_anchored_B_kimi_seed2025,drift_anchored,llm,21,394,0.6406983432184395,0.3576017130620985,0.3048971383216229
drift_anchored_B_kimi_seed2025,drift_anchored,llm,22,405,0.6543530659317671,0.3768736616702355,0.2858550020655689
drift_anchored_B_kimi_seed2025,drift_anchored,llm,23,407,0.6737415463580015,0.4068522483940043,0.273196966550081
drift_anchored_B_kimi_seed2025,drift_anchored,llm,24,408,0.672374382467107,0.4047109207708779,0.2746036247780186
drift_anchored_B_kimi_seed2025,drift_anchored,llm,25,411,0.6764679438775344,0.4111349036402569,0.2725043957657078
drift_anchored_B_seed2025,drift_anchored,llm,0,0,0.6233718201816931,0.3597430406852248,0.312490974846157
drift_anchored_B_seed2025,drift_anchored,llm,1,50,0.624261529542696,0.3597430406852248,0.3092133466001416
drift_anchored_B_seed2025,drift_anchored,llm,2,100,0.6285457398980647,0.3704496788008565,0.3005150347184714
drift_anchored_B_seed2025,drift_anchored,llm,3,150,0.6228588795672243,0.3576017130620985,0.3042861578738111
drift_anchored_B_seed2025,drift_anchored,llm,4,200,0.6375983682303124,0.3747323340471092,0.2906093928355324
drift_anchored_B_seed2025,drift_anchored,llm,5,250,0.637910519252179,0.3683083511777302,0.2906029417077244
