strategy,provider,seed,pp_test_f1w_final,pp_test_f1w_final_delta_vs_baseline,kp_test_f1w_final,kp_test_f1w_final_delta_vs_baseline,dp_probe_f1w_final,dp_probe_f1w_final_delta_vs_baseline,pp_test_recall_phish_final,pp_test_recall_phish_final_delta_vs_baseline
drift_anchored,deepseek_v4,2025,0.6745343165059557,0.0,0.9795039691291906,0.0,0.6752796535923453,0.0,0.4016393442622951,0.0
drift_anchored,gpt_5_4_mini,2025,0.6353516924842226,-0.039182624021733115,0.9800591723746427,0.0005552032454521072,0.6501929516691466,-0.02508670192319873,0.3524590163934426,-0.04918032786885246
drift_anchored,gpt_5_4,2025,0.6353516924842226,-0.039182624021733115,0.9800591723746427,0.0005552032454521072,0.6651189556309357,-0.010160697961409615,0.3524590163934426,-0.04918032786885246
drift_anchored,mistral_large,2025,0.6707957289413078,-0.003738587564647955,0.9800616472799517,0.0005576781507611317,0.5639740444033141,-0.11130560918903121,0.4180327868852459,0.016393442622950838
pure_random,deepseek_v4,2025,0.7009301045679692,0.0,0.9789513486176783,0.0,0.671535791141859,0.0,0.4672131147540984,0.0
pure_random,gpt_5_4_mini,2025,0.7336162915326901,0.03268618696472092,0.9795039691291906,0.0005526205115122806,0.6681825571991462,-0.0033532339427128077,0.5163934426229508,0.04918032786885246
pure_random,gpt_5_4,2025,0.7009301045679692,0.0,0.9795065388336702,0.0005551902159919297,0.6825695690346222,0.011033777892763164,0.4672131147540984,0.0
pure_random,mistral_large,2025,0.7167030402014325,0.01577293563346327,0.9789539610177269,2.6124000486182908e-06,0.6241540351365132,-0.047381756005345776,0.5,0.03278688524590162
