target,features,n_feats,agreement_acc,f1w
llm,gated,26,0.8237347294938918,0.8230383908498496
llm,restored,37,0.8568935427574171,0.8572247485668778
gt,gated,26,0.8987783595113438,0.8987863916754097
gt,restored,37,0.9389179755671903,0.9389011860274765
