features,label_src,n_feats,PP_test_f1w,DP_macro,KP_test_f1w,LLM_agreement_heldout
gated,llm,26,0.8501486753590787,0.39740185669597233,0.9683950679423403,0.7595330739299611
restored,llm,37,0.8988306985658674,0.5045707866158557,0.9961251418892969,0.8249027237354085
gated_gt_ceiling,gt,26,0.8587552162067029,0.29613575236999745,0.9694995704905893,0.7673151750972763
