epsilon,correction_seed,n_accepted,n_errors_total,n_errors_flipped,n_train_total,kp_n,kp_phish_frac,kp_accuracy,kp_f1_weighted,kp_f1_macro,kp_f1_phish,kp_precision_phish,kp_recall_phish,kp_auc_roc,kp_pr_auc,pp_n,pp_phish_frac,pp_accuracy,pp_f1_weighted,pp_f1_macro,pp_f1_phish,pp_precision_phish,pp_recall_phish,pp_auc_roc,pp_pr_auc,dp_n,dp_phish_frac,dp_accuracy,dp_f1_weighted,dp_f1_macro,dp_f1_phish,dp_precision_phish,dp_recall_phish,dp_auc_roc,dp_pr_auc
0.0,2025,1226,356,0,8447,1806,0.44739756367663347,0.9728682170542635,0.9728495942676327,0.9725279279530987,0.9694704049844237,0.9761606022584692,0.9628712871287128,0.9969233020496439,0.9953008155712338,956,0.4884937238493724,0.7834728033472803,0.774749902573894,0.77366570021788,0.726552179656539,0.9482758620689655,0.588865096359743,0.9281407233220792,0.9205617060092592,6426,0.1503267973856209,0.760192966075319,0.7923368640109213,0.6824853983663612,0.525408068986757,0.37395879000438403,0.8830227743271222,0.9125892051357889,0.7532620966964882
0.0,2026,1226,356,0,8447,1806,0.44739756367663347,0.9728682170542635,0.9728495942676327,0.9725279279530987,0.9694704049844237,0.9761606022584692,0.9628712871287128,0.9969233020496439,0.9953008155712338,956,0.4884937238493724,0.7834728033472803,0.774749902573894,0.77366570021788,0.726552179656539,0.9482758620689655,0.588865096359743,0.9281407233220792,0.9205617060092592,6426,0.1503267973856209,0.760192966075319,0.7923368640109213,0.6824853983663612,0.525408068986757,0.37395879000438403,0.8830227743271222,0.9125892051357889,0.7532620966964882
0.0,2027,1226,356,0,8447,1806,0.44739756367663347,0.9728682170542635,0.9728495942676327,0.9725279279530987,0.9694704049844237,0.9761606022584692,0.9628712871287128,0.9969233020496439,0.9953008155712338,956,0.4884937238493724,0.7834728033472803,0.774749902573894,0.77366570021788,0.726552179656539,0.9482758620689655,0.588865096359743,0.9281407233220792,0.9205617060092592,6426,0.1503267973856209,0.760192966075319,0.7923368640109213,0.6824853983663612,0.525408068986757,0.37395879000438403,0.8830227743271222,0.9125892051357889,0.7532620966964882
0.25,2025,1226,356,89,8447,1806,0.44739756367663347,0.9750830564784053,0.9750692061490802,0.9747768103077713,0.9719975108898569,0.9774718397997497,0.9665841584158416,0.9969394234012581,0.9950005719415975,956,0.4884937238493724,0.8117154811715481,0.806637802142153,0.8058620456237731,0.7721518987341772,0.9442724458204335,0.6531049250535332,0.9289727320100016,0.9241319931390936,6426,0.1503267973856209,0.7486772486772487,0.7832948571494067,0.6757817040921306,0.5220479431784552,0.3655200994612516,0.9130434782608695,0.9159657285433682,0.7405214510410388
0.25,2026,1226,356,89,8447,1806,0.44739756367663347,0.9778516057585825,0.9778462747555021,0.9775930521091811,0.9751861042183623,0.9776119402985075,0.9727722772277227,0.9969270223615547,0.9950760712001778,956,0.4884937238493724,0.805439330543933,0.7994669508382417,0.7986137537374287,0.7615384615384615,0.9488817891373802,0.6359743040685225,0.9280356274878157,0.9231557597204828,6426,0.1503267973856209,0.7262682850918145,0.7647921434830306,0.6569253399876256,0.5026858919988691,0.3457798521975885,0.9202898550724637,0.9099794098241303,0.7275636644366914
0.25,2027,1226,356,89,8447,1806,0.44739756367663347,0.9778516057585825,0.9778435248607139,0.9775876297615428,0.9751552795031055,0.9788029925187033,0.9715346534653465,0.9970721145260819,0.9952007968947021,956,0.4884937238493724,0.8085774058577406,0.8029207397603249,0.8020965897328867,0.7662835249042146,0.9493670886075949,0.6423982869379015,0.9291478917337748,0.9223871735552638,6426,0.1503267973856209,0.7200435729847494,0.7595492496510814,0.650830014538714,0.4953716690042076,0.3397460561754521,0.9140786749482401,0.9050531249289013,0.7295714586779064
0.5,2025,1226,356,178,8447,1806,0.44739756367663347,0.9778516057585825,0.9778462747555021,0.9775930521091811,0.9751861042183623,0.9776119402985075,0.9727722772277227,0.9970497926546161,0.994809221539636,956,0.4884937238493724,0.8347280334728033,0.8314773640729491,0.8308911777877295,0.8054187192118226,0.9478260869565217,0.7002141327623126,0.9318541094660693,0.9286603079889999,6426,0.1503267973856209,0.715219421101774,0.7555640356136787,0.6477705174112413,0.4936358605423354,0.3368580060422961,0.9233954451345756,0.9108098423315816,0.7203116258180923
0.5,2026,1226,356,178,8447,1806,0.44739756367663347,0.978405315614618,0.9784014378783974,0.9781558479177592,0.9758214507129572,0.977639751552795,0.974009900990099,0.997162642115915,0.9952100872793352,956,0.4884937238493724,0.8347280334728033,0.8314773640729491,0.8308911777877295,0.8054187192118226,0.9478260869565217,0.7002141327623126,0.9310483747367131,0.9290667721974702,6426,0.1503267973856209,0.6570183629007158,0.7054904551843862,0.6019573835480674,0.45391476709613476,0.298371335504886,0.94824016563147,0.8989210065297022,0.6932596721043882
0.5,2027,1226,356,178,8447,1806,0.44739756367663347,0.9789590254706534,0.9789539610177269,0.978713399503722,0.9764267990074442,0.9788557213930348,0.974009900990099,0.9971713228437072,0.9950253744107895,956,0.4884937238493724,0.8410041841004184,0.8382512680706375,0.837720003573662,0.8146341463414634,0.9461756373937678,0.715203426124197,0.9310965436607506,0.9272806965168666,6426,0.1503267973856209,0.6425459072517896,0.6926192646619562,0.5902865369669635,0.4439603001694505,0.28973143759873615,0.9492753623188406,0.901559430907257,0.7130288141845809
0.75,2025,1226,356,267,8447,1806,0.44739756367663347,0.9789590254706534,0.9789513486176783,0.9787082482734657,0.9763975155279503,0.9800498753117207,0.9727722772277227,0.99718248377944,0.994894895951098,956,0.4884937238493724,0.8556485355648535,0.8539005696264642,0.8534914712153518,0.8357142857142857,0.9410187667560321,0.7516059957173448,0.9372183760066212,0.9360079732934222,6426,0.1503267973856209,0.5966386554621849,0.6506325964332145,0.5531832909216454,0.41383989145183175,0.2647569444444444,0.9472049689440993,0.8930416202155331,0.6624820797922857
0.75,2026,1226,356,267,8447,1806,0.44739756367663347,0.9795127353266888,0.9795090564487359,0.9792760608450537,0.977061376317421,0.9788819875776398,0.9752475247524752,0.9971862040913511,0.994982839142521,956,0.4884937238493724,0.8577405857740585,0.856017952675356,0.8556147832267236,0.8380952380952381,0.9436997319034852,0.7537473233404711,0.9327693190227839,0.9332078803171158,6426,0.1503267973856209,0.5248988484282602,0.5798370477963426,0.49701508605190703,0.3785874211276206,0.23562199138586268,0.9627329192546584,0.889513988427032,0.6527744884988959
0.75,2027,1226,356,267,8447,1806,0.44739756367663347,0.9795127353266888,0.9795090564487359,0.9792760608450537,0.977061376317421,0.9788819875776398,0.9752475247524752,0.9972816920970654,0.9948367866866304,956,0.4884937238493724,0.8556485355648535,0.8537613701576244,0.8533377207804913,0.8349282296650717,0.94579945799458,0.7473233404710921,0.9341837337922518,0.9326464786005966,6426,0.1503267973856209,0.547463429816371,0.6029272799453421,0.5146017865082068,0.3883045856121161,0.24366420274551215,0.9554865424430642,0.893352748011133,0.6744342940082217
1.0,2025,1226,356,356,8447,1806,0.44739756367663347,0.978405315614618,0.9784065808046025,0.9781661947075482,0.9758812615955473,0.9752781211372065,0.9764851485148515,0.9973610587511657,0.9954849169332983,956,0.4884937238493724,0.8661087866108786,0.8656138947947268,0.8653870693789905,0.8555304740406321,0.9045346062052506,0.8115631691648822,0.9378664669845816,0.9391195983463846,6426,0.1503267973856209,0.3520074696545285,0.37567406191542585,0.34992160050611043,0.31309798746288353,0.18622448979591838,0.9824016563146998,0.8622058410878287,0.568325307332077
