round,trigger_row
1,149
2,299
3,449
4,599
5,749
6,899
7,1049
8,1199
9,1349
10,1499
11,1649
12,1799
13,1949
14,2099
15,2249
16,2399
17,2549
18,2699
19,2849
20,2999
21,3149
22,3299
23,3449
24,3599
25,3749
