provider,n_halluc_correct,n_halluc_wrong,n_clean_correct,n_clean_wrong,acc_when_halluc,acc_when_clean,acc_drop_due_to_halluc,fisher_odds_ratio,fisher_p_two_sided
DeepSeek-V4-Flash,289,43,98,49,0.8704819277108434,0.6666666666666666,-0.2038152610441768,3.36046511627907,5.734458925388381e-07
GPT-5.4,257,26,135,64,0.9081272084805654,0.678391959798995,-0.22973524868157036,4.686039886039886,2.6847703807730147e-10
GPT-5.4-mini,243,27,153,58,0.9,0.7251184834123223,-0.1748815165876777,3.411764705882353,9.692189706081143e-07
GPT-5.1,219,25,156,84,0.8975409836065574,0.65,-0.2475409836065574,4.716923076923077,5.535763376809124e-11
Llama-3.3-70B,133,15,146,29,0.8986486486486487,0.8342857142857143,-0.06436293436293439,1.761187214611872,0.10491486753662624
Mistral-Large-3,283,21,138,48,0.930921052631579,0.7419354838709677,-0.18898556876061123,4.687370600414079,1.4243643258435526e-08
