provider,n,accuracy,mean_trust,halluc_sample_frac,halluc_indicator_rate,pearson_trust_correct,pearson_trust_correct_p,spearman_trust_correct,spearman_trust_correct_p,phi_halluc_correct,phi_halluc_correct_p
DeepSeek-V4-Flash,479,0.8079331941544885,0.7588155433838116,0.6931106471816284,0.09826711749788673,0.30345812115173637,1.1625238304807668e-11,0.1765409208707545,0.00010264983387026445,0.23862448962978125,1.2539620584943195e-07
GPT-5.4,482,0.8132780082987552,0.7500531473626918,0.5871369294605809,0.07881002087682672,0.36952476700408976,4.842039126230208e-17,0.24377179624451079,5.9609855577891e-08,0.2902572675921894,8.232991267714261e-11
GPT-5.4-mini,481,0.8232848232848233,0.7634239959739959,0.5613305613305614,0.1243368700265252,0.30908880098459085,4.159329121842197e-12,0.2208397653789716,1.0016623466048333e-06,0.22751496328681522,4.5805799382429444e-07
GPT-5.1,484,0.7747933884297521,0.7512520889349401,0.5041322314049587,0.09081684424150177,0.42909119345693664,4.2245785449862686e-23,0.34674647603554554,4.040523894870735e-15,0.2962912072110766,2.901544367301759e-11
Llama-3.3-70B,323,0.8637770897832817,0.804787668471879,0.4582043343653251,0.11725796752856284,0.3847094649258016,7.784571645862657e-13,0.27526470908161654,5.025268274333075e-07,0.09348830329493678,0.09347366194192651
Mistral-Large-3,490,0.8591836734693877,0.7800714292510211,0.6204081632653061,0.09425493716337523,0.15734307260158367,0.0004725711860972478,0.044366732825230334,0.32704966612753006,0.2636673247005926,3.0886604276685112e-09
