model,n_total,n_with_gt,accuracy,n_phish_llm,n_benign_llm,accuracy_phish,accuracy_benign,mean_confidence,mean_trust,mean_t1,mean_t2,mean_t3,mean_indicators_found,mean_indicators_not_found,mean_hallucination_rate,frac_samples_with_any_hallucination,global_verify_rate,global_contradict_rate,global_unverifiable_rate,trust_correctness_pearson,acc_bucket_very_low,n_bucket_very_low,acc_bucket_low,n_bucket_low,acc_bucket_mid,n_bucket_mid,acc_bucket_high,n_bucket_high,acc_bucket_very_high,n_bucket_very_high
DeepSeek-V4-Flash,1230,1230,0.8284552845528456,280,950,0.9892857142857143,0.7810526315789473,0.9576983739837399,0.7741176143685029,0.9576983739837399,0.45167759566557514,0.8068292682926829,5.464227642276422,9.947967479674796,0.09521862565895262,0.6609756097560976,0.35171447411803497,0.09042202439828552,0.5578635014836796,0.25149519534944564,0.0,3,0.3987341772151899,158,0.98046875,256,0.9154471544715447,615,0.7171717171717171,198
Kimi-K2.6,393,393,0.9847328244274809,0,393,,0.9847328244274809,0.9908290076335878,0.8588082252607444,0.9908290076335878,0.4135174621815843,0.9632315521628497,6.740458015267175,12.493638676844784,0.08286208772849996,0.7379134860050891,0.35804480651731163,0.0814663951120163,0.5604887983706721,-0.02689008936596245,,0,1.0,19,0.75,4,0.9926470588235294,272,0.9693877551020408,98
GPT-5.4,212,212,0.8537735849056604,27,185,1.0,0.8324324324324325,0.9400000000000002,0.7989539509155908,0.9400000000000002,0.4619348896263435,0.8474056603773584,9.254716981132075,12.391509433962264,0.08007350084555968,0.6367924528301887,0.36023166023166026,0.0776061776061776,0.5621621621621622,0.5029332540713065,,0,0.2916666666666667,24,0.8846153846153846,26,0.9363636363636364,110,0.9230769230769231,52
GPT-5.4-mini,212,212,0.8443396226415094,26,186,0.9615384615384616,0.8279569892473119,0.9706320754716982,0.8211850029949088,0.9706320754716982,0.5094573599880203,0.8573113207547169,4.877358490566038,6.367924528301887,0.12569070080862532,0.5990566037735849,0.48507462686567165,0.12462686567164179,0.3902985074626866,0.40798954038736374,,0,0.2,20,0.8928571428571429,28,0.9519230769230769,104,0.85,60
Mistral-Large-3,213,213,0.892018779342723,38,175,0.9473684210526315,0.88,0.970892018779343,0.8133991818041114,0.970892018779343,0.47928380305140866,0.8537558685446011,5.835680751173709,9.19718309859155,0.0958015510832412,0.6150234741784038,0.3789364997418689,0.09137842023748063,0.5296850800206505,0.293789566920696,,0,0.5,18,0.8823529411764706,34,0.9803921568627451,102,0.864406779661017,59
